id_daftaruniversitas,nama_daftaruniversitas
1,AKADEMI KOMUNITAS NEGERI ACEH BARAT
2,AKADEMI KOMUNITAS NEGERI PACITAN
3,AKADEMI KOMUNITAS NEGERI PUTRA SANG FAJAR BLITAR
4,AKADEMI KOMUNITAS NEGERI REJANG LEBONG
5,AKADEMI KOMUNITAS NEGERI SENI DAN BUDAYA YOGYAKARTA
6,INSTITUT PERTANIAN BOGOR
7,INSTITUT SENI BUDAYA INDONESIA ACEH
8,INSTITUT SENI BUDAYA INDONESIA BANDUNG
9,INSTITUT SENI BUDAYA INDONESIA TANAH PAPUA
10,INSTITUT SENI INDONESIA BALI
11,INSTITUT SENI INDONESIA PADANG PANJANG
12,INSTITUT SENI INDONESIA SURAKARTA
13,INSTITUT SENI INDONESIA YOGYAKARTA
14,INSTITUT TEKNOLOGI BACHARUDDIN JUSUF HABIBIE
15,INSTITUT TEKNOLOGI BANDUNG
16,INSTITUT TEKNOLOGI KALIMANTAN
17,INSTITUT TEKNOLOGI SEPULUH NOPEMBER
18,INSTITUT TEKNOLOGI SUMATERA
19,POLITEKNIK ELEKTRONIKA NEGERI SURABAYA
20,POLITEKNIK MANUFAKTUR BANDUNG
21,POLITEKNIK MANUFAKTUR NEGERI BANGKA BELITUNG
22,POLITEKNIK MARITIM NEGERI INDONESIA
23,POLITEKNIK NEGERI AMBON
24,POLITEKNIK NEGERI BALI
25,POLITEKNIK NEGERI BALIKPAPAN
26,POLITEKNIK NEGERI BANDUNG
27,POLITEKNIK NEGERI BANJARMASIN
28,POLITEKNIK NEGERI BANYUWANGI
29,POLITEKNIK NEGERI BATAM
30,POLITEKNIK NEGERI BENGKALIS
31,POLITEKNIK NEGERI CILACAP
32,POLITEKNIK NEGERI FAKFAK
33,POLITEKNIK NEGERI INDRAMAYU
34,POLITEKNIK NEGERI JAKARTA
35,POLITEKNIK NEGERI JEMBER
36,POLITEKNIK NEGERI KETAPANG
37,POLITEKNIK NEGERI KUPANG
38,POLITEKNIK NEGERI LAMPUNG
39,POLITEKNIK NEGERI LHOKSEUMAWE
40,POLITEKNIK NEGERI MADIUN
41,POLITEKNIK NEGERI MADURA
42,POLITEKNIK NEGERI MALANG
43,POLITEKNIK NEGERI MANADO
44,POLITEKNIK NEGERI MEDAN
45,POLITEKNIK NEGERI MEDIA KREATIF
46,POLITEKNIK NEGERI NUNUKAN
47,POLITEKNIK NEGERI NUSA UTARA
48,POLITEKNIK NEGERI PADANG
49,POLITEKNIK NEGERI PONTIANAK
50,POLITEKNIK NEGERI SAMARINDA
51,POLITEKNIK NEGERI SAMBAS
52,POLITEKNIK NEGERI SEMARANG
53,POLITEKNIK NEGERI SRIWIJAYA
54,POLITEKNIK NEGERI SUBANG
55,POLITEKNIK NEGERI TANAH LAUT
56,POLITEKNIK NEGERI UJUNG PANDANG
57,POLITEKNIK PERIKANAN NEGERI TUAL
58,POLITEKNIK PERKAPALAN NEGERI SURABAYA
59,POLITEKNIK PERTANIAN NEGERI KUPANG
60,POLITEKNIK PERTANIAN NEGERI PANGKAJENE KEPULAUAN
61,POLITEKNIK PERTANIAN NEGERI PAYAKUMBUH
62,POLITEKNIK PERTANIAN NEGERI SAMARINDA
63,UNIVERSITAS BANGKA BELITUNG
64,UNIVERSITAS BENGKULU
65,UNIVERSITAS BORNEO TARAKAN
66,UNIVERSITAS BRAWIJAYA
67,UNIVERSITAS CENDERAWASIH
68,UNIVERSITAS HALU OLEO
69,UNIVERSITAS JAMBI
70,UNIVERSITAS JEMBER
71,UNIVERSITAS JENDERAL SOEDIRMAN
72,UNIVERSITAS KHAIRUN
73,UNIVERSITAS LAMPUNG
74,UNIVERSITAS MALIKUSSALEH
75,UNIVERSITAS MARITIM RAJA ALI HAJI
76,UNIVERSITAS MATARAM
77,UNIVERSITAS MULAWARMAN
78,UNIVERSITAS MUSAMUS MERAUKE
79,UNIVERSITAS NEGERI GORONTALO
80,UNIVERSITAS NEGERI JAKARTA
81,UNIVERSITAS NEGERI MAKASSAR
82,UNIVERSITAS NEGERI MALANG
83,UNIVERSITAS NEGERI MANADO
84,UNIVERSITAS NEGERI MEDAN
85,UNIVERSITAS NEGERI PADANG
86,UNIVERSITAS NEGERI SEMARANG
87,UNIVERSITAS NEGERI SURABAYA
88,UNIVERSITAS NEGERI YOGYAKARTA
89,UNIVERSITAS NUSA CENDANA
90,UNIVERSITAS PALANGKA RAYA
91,UNIVERSITAS PAPUA
92,UNIVERSITAS PATTIMURA
93,"UNIVERSITAS PEMBANGUNAN NASIONAL ""VETERAN"" JAKARTA"
94,"UNIVERSITAS PEMBANGUNAN NASIONAL ""VETERAN"" JAWA TIMUR"
95,"UNIVERSITAS PEMBANGUNAN NASIONAL ""VETERAN"" YOGYAKARTA"
96,UNIVERSITAS PENDIDIKAN GANESHA
97,UNIVERSITAS PENDIDIKAN INDONESIA
98,UNIVERSITAS RIAU
99,UNIVERSITAS SAM RATULANGI
100,UNIVERSITAS SAMUDRA
101,UNIVERSITAS SEBELAS MARET
102,UNIVERSITAS SEMBILANBELAS NOVEMBER
103,UNIVERSITAS SILIWANGI
104,UNIVERSITAS SINGAPERBANGSA KARAWANG
105,UNIVERSITAS SULAWESI BARAT
106,UNIVERSITAS SULTAN AGENG TIRTAYASA
107,UNIVERSITAS TADULAKO
108,UNIVERSITAS TANJUNGPURA
109,UNIVERSITAS TERBUKA
110,UNIVERSITAS TEUKU UMAR
111,UNIVERSITAS TIDAR
112,UNIVERSITAS TIMOR
113,UNIVERSITAS TRUNOJOYO MADURA
114,UNIVERSITAS UDAYANA
