id_desa,nama_desa,id_kecamatan,id_kabupaten
1,ABUNG JAYO,88,5
2,ADI JAYA,56,3
3,ADI JAYA,198,13
4,ADI KARYA MULYA,110,6
5,ADI LUHUR,110,6
6,ADI MULYO,110,6
7,ADI WARNO,62,4
8,ADIJAYA,76,4
9,ADILUHUR,67,4
10,ADILUWIH,137,9
11,ADIPURO,58,3
12,ADIREJO,67,4
13,ADIREJO,76,4
14,AGOM,19,2
15,AGUNG BATIN,112,6
16,AGUNG DALAM,168,11
17,AGUNG JAYA,168,11
18,AGUNG JAYA,189,12
19,AGUNG TIMUR,42,3
20,AIR ABANG,164,10
21,AIR BAKOMAN,160,10
22,AIR KUBANG,146,10
23,AIR NANINGAN,146,10
24,AIR RINGKIH,202,13
25,AJI JAYA,112,6
26,AJI JAYA KNPI,170,11
27,AJI KAGUNGAN,86,5
28,AJI MESIR,170,11
29,AJI MURNI JAYA,170,11
30,AJI PERMAI TALANG BUAH,170,11
31,ALAM JAYA,99,5
32,AMBARAWA,138,9
33,AMBARAWA BARAT,138,9
34,AMBARAWA TIMUR,138,9
35,ANDALAS CERMIN,180,11
36,ARGOMULYO,5,1
37,ARGOMULYO,162,10
38,ARGOMULYO,191,13
39,ARGOPENI,162,10
40,ASAHAN,67,4
41,ASAHAN WAY SINDI,127,8
42,ASTO MULYO,46,3
43,ASTRA KSETRA,173,11
44,ATAR BAWANG,5,1
45,ATAR BRAK,157,10
46,ATAR KUAW,5,1
47,ATAR LEBAR,147,10
48,BABAKAN,159,10
49,BABAKAN LOA,116,7
50,BABATAN,20,2
51,BABULANG,19,2
52,BADAK,157,10
53,BADRAN SARI,46,3
54,BAGELEN,115,7
55,BAHWAY,2,1
56,BAKAUHENI,16,2
57,BAKHU,5,1
58,BAKTI NEGARA,192,13
59,BAKTI NEGARA,201,13
60,BAKTIRASA,28,2
61,BAKUNG,220,14
62,BAKUNG ILIR,172,11
63,BAKUNG RAHAYU,172,11
64,BAKUNG UDIK,172,11
65,BALAI KENCANA,128,8
66,BALAI KENCONO,62,4
67,BALAI MURNI JAYA,167,11
68,BALAI REJO,42,3
69,BALAM,134,8
70,BALAM ASRI,189,12
71,BALAM JAYA,189,12
72,BALE REJO,62,4
73,BALI AGUNG,24,2
74,BALI SADAR SELATAN,191,13
75,BALI SADAR TENGAH,191,13
76,BALI SADAR UTARA,191,13
77,BALINURAGA,31,2
78,BAMBANG,129,8
79,BANARJOYO,62,4
80,BANDAN HURIP,24,2
81,BANDAR ABUNG,90,5
82,BANDAR AGUNG,3,1
83,BANDAR AGUNG,28,2
84,BANDAR AGUNG,57,3
85,BANDAR AGUNG,61,4
86,BANDAR AGUNG,101,5
87,BANDAR AGUNG,191,13
88,BANDAR AJI JAYA,170,11
