id_kecamatan,nama_kecamatan,id_kabupaten
1,AIR HITAM,1
2,BALIK BUKIT,1
3,BANDAR NEGERI SUOH,1
4,BATU BRAK,1
5,BATU KETULIS,1
6,BELALAU,1
7,GEDUNG SURIAN,1
8,KEBUN TEBU,1
9,LUMBOK SEMINUNG,1
10,PAGAR DEWA,1
11,SEKINCAU,1
12,SUKAU,1
13,SUOH,1
14,SUMBER JAYA,1
15,WAY TENONG,1
16,BAKAUHENI,2
17,CANDIPURO,2
18,JATI AGUNG,2
19,KALIANDA,2
20,KATIBUNG,2
21,KETAPANG,2
22,MERBAU MATARAM,2
23,NATAR,2
24,PALAS,2
25,PENENGAHAN,2
26,RAJABASA,2
27,SIDOMULYO,2
28,SRAGI,2
29,TANJUNG BINTANG,2
30,TANJUNG SARI,2
31,WAY PANJI,2
32,WAY SULAN,2
33,ANAK RATU AJI,3
34,ANAK TUHA,3
35,BANDAR MATARAM,3
36,BANDAR SURABAYA,3
37,BANGUNREJO,3
38,BEKRI,3
39,BUMI NABUNG,3
40,BUMI RATU NUBAN,3
41,GUNUNG SUGIH,3
42,KALIREJO,3
43,KOTA GAJAH,3
44,PADANG RATU,3
45,PUBIAN,3
46,PUNGGUR,3
47,PUTRA RUMBIA,3
48,RUMBIA,3
49,SELAGAI LINGGA,3
50,SENDANG AGUNG,3
51,SEPUTIH AGUNG,3
52,SEPUTIH BANYAK,3
53,SEPUTIH MATARAM,3
54,SEPUTIH RAMAN,3
55,SEPUTIH SURABAYA,3
56,TERBANGGI BESAR,3
57,TERUSAN NUNYAI,3
58,TRIMURJO,3
59,WAY PENGUBUAN,3
60,WAY SEPUTIH,3
61,BANDAR SRIBHAWONO,4
62,BATANGHARI,4
63,BATANGHARI NUBAN,4
64,BRAJA SLEBAH,4
65,BUMI AGUNG,4
66,GUNUNG PELINDUNG,4
67,JABUNG,4
68,LABUHAN MARINGGAI,4
69,LABUHAN RATU,4
70,MARGA SEKAMPUNG,4
71,MARGA TIGA,4
72,MATARAM BARU,4
73,MELINTING,4
74,METRO KIBANG,4
75,PASIR SAKTI,4
76,PEKALONGAN,4
77,PURBOLINGGO,4
78,RAMAN UTARA,4
79,SEKAMPUNG,4
80,SEKAMPUNG UDIK,4
81,SUKADANA,4
82,WAY BUNGUR,4
83,WAWAY KARYA,4
84,WAY JEPARA,4
85,ABUNG BARAT,5
86,ABUNG KUNANG,5
87,ABUNG PEKURUN,5
88,ABUNG SELATAN,5
89,ABUNG SEMULI,5
90,ABUNG SURAKARTA,5
91,ABUNG TENGAH,5
92,ABUNG TIMUR,5
93,ABUNG TINGGI,5
94,BLAMBANGAN PAGAR,5
95,BUKIT KEMUNING,5
96,BUNGA MAYANG,5
97,HULU SUNGKAI,5
98,KOTABUMI,5
99,KOTABUMI SELATAN,5
100,KOTABUMI UTARA,5
101,MUARA SUNGKAI,5
102,SUNGKAI BARAT,5
103,SUNGKAI JAYA,5
104,SUNGKAI SELATAN,5
105,SUNGKAI TENGAH,5
106,SUNGKAI UTARA,5
107,TANJUNG RAJA,5
108,MESUJI,6
109,MESUJI TIMUR,6
110,PANCA JAYA,6
111,RAWA JITU UTARA,6
112,SIMPANG PEMATANG,6
113,TANJUNG RAYA,6
114,WAY SERDANG,6
115,GEDONG TATAAN,7
116,KEDONDONG,7
117,MARGA PUNDUH,7
118,NEGERI KATON,7
119,PADANG CERMIN,7
120,PUNDUH PIDADA,7
121,TEGINENENG,7
122,TELUK PANDAN,7
123,WAY LIMA,7
124,WAY KHILAU,7
125,WAY RATAI,7
126,BANGKUNAT,8
127,KARYA PENGGAWA,8
128,KRUI SELATAN,8
129,LEMONG,8
130,NGAMBUR,8
131,NGARAS,8
132,PESISIR SELATAN,8
133,PESISIR TENGAH,8
134,PESISIR UTARA,8
135,PULAUPISANG,8
136,WAY KRUI,8
137,ADILUWIH,9
138,AMBARAWA,9
