id_SMA,nama_SMA,id_kabupaten
1,MA AL HABSI,5
2,MA AL IRSYAD DARUSSALAM,1
3,MA AL-HIDAYAH GUNUNG TERANG,11
4,MA BAITUT TAQWA,11
5,MA DARUL FALAH BENGKUNAT BELIMBING,1
6,MA DARUSSALAM SIRING BALAK,1
7,MA HIDAYATUL MUTTAQIN,10
8,MA ISLAMIAH WAY LIMAU,13
9,MA ISLAMIYAH SRI MENANTI,5
10,MA JAMIATUL MCHSN SUNG.SEL,5
11,MA MA'ARIF ROUDHOTUT THOLIBIN,15
12,MA MAMBAUL HUDA,11
13,MA MATHLAUL ANWAR,11
14,MA MIFTAHUL HUDA,13
15,MA MIFTAHUL ULUM,5
16,MA MUNADA SUNGAI NIBUNG GEDUNG MENENG,11
17,MA NURUL HUDA,5
18,MA NURUL IMAN,11
19,MA NURUL ISLAM GUNUNG SARI,10
20,MA NURUL ULUM,10
21,MA QUDSIYAH,5
22,MA ULUL ABSORI,11
23,MA. AL FALAH GUNUNG KASIH,10
24,MA. AL IKHLAS PERTIWI,10
25,MA. BAITURROHMAH,13
26,MA. DAIYATUL WATHON,11
27,MA. HIDAYATUL MUTTAQIN,10
28,MA. MUHAMMADIYAH PARDASUKA,10
29,MA.AL-FALAAH RAWAPITU,11
30,MA.AL-FALAH,11
31,MA.ASWAJA,11
32,MA.DARUL ULUM,11
33,MA.DARUL ULUM,11
34,MA.HIDAYATUL MUBTADIIDN,11
35,MA.HIDAYATUL MUBTADIIN,11
36,MA.ISLAMIYAH,11
37,MA.ISLAMIYAH,11
38,"MA.MAMBA,UL HUDA",11
39,MA.MATLA'UL ANWAR,11
40,MA.MIFTAHUL JANNAH,11
41,MA.MIFTAHUL JANNAH,11
42,MA.MUNAWAROH,11
43,MA.NURUL MUTTAQIN,11
44,MA.RAUDHATUL HUDA,11
45,MAIS. PUGUNG TAMPAK,1
46,MAN 1 BANDAR LAMPUNG,14
47,MAN 1 METRO,4
48,MAN 2 METRO,15
49,MAN 2 TANJUNG KARANG,14
50,MAN KALIANDA,2
51,MAN KEDONDONG,2
52,MAN KIBANG BUDI JAYA,11
53,MAN KOTABUMI,5
54,MAN KRUI,1
55,MAN LIWA,1
56,MAN MULYA KENCANA,11
57,MAN PONCOWATI,3
58,MAN PRINGSEWU,10
59,MAN KOTA AGUNG,10
60,MAN PADANG RATU,5
61,MAN. MULA KENCANA,11
62,MAN.KIBANG BUDI JAYA,11
63,MAS AL- ASY`ARIYAH PANJANG,14
64,MAS AL- FALAAH,11
65,MAS AL- FALAH,1
66,MAS AL- FALAH,11
67,MAS AL- FATAH,2
68,MAS AL- FURQON,2
69,MAS AL HARAMAIN,3
70,MAS AL HIDAYAH,4
71,MAS AL- HIDAYAH,10
72,MAS AL- HIKMAH,14
73,MAS AL- HUDA,5
74,MAS AL- IKHLAS,2
75,MAS AL- IKHLAS,2
76,MAS AL- ISHLAH,2
77,MAS AL- ISLAMIYAH KOTABUMI,5
78,MAS AL KHAIRIYAH,10
79,MAS AL- KHAIRIYAH,2
80,MAS AL- KHAIRIYAH WAY LAHU,2
81,MAS AL MAARIF,13
82,MAS AL- MAARIF,1
83,MAS AL MUBAROK,3
84,MAS AL- MUHAJIRIN,5
85,MAS AL- MUHSIN,15
86,MAS AL- MUNAWAROH,11
87,MAS AL MUNAWAROH 1,2
88,MAS AL- UTRUJIYYAH,14
89,MAS AL-AMIN,4
90,MAS AL-HIKMAH BUMIJAYA,2
91,MAS AL-IKHLAS,4
92,MAS AL-IMAN,4
93,MAS AL-ITTIHADIYAH WAYSULAN,2
94,MAS AL-KHAIRIYAH AGOM,2
95,MAS AL-KHAIRIYAH KRAWANGSARI,2
96,MAS AN- NUUR,5
97,MAS ASSALAM,5
98,MAS ASWAJA,11
99,MAS BAHRUL ULUM,10
100,MAS BAHRUL ULUM,13
101,MAS BAITUL HIDAYAH PALAS,2
102,MAS BUSTANUL ULUM,3
103,MAS BUSTANUL ULUM,3
104,MAS DAARUL ULUM BAHUGA,13
105,MAS DARUL AMAL,4
106,MAS DARUL AMAL,15
107,MAS DARUL HUDA,4
108,MAS DARUL HUDA,5
109,MAS DARUL MAARIF,2
110,MAS DARUL ULUM,4
111,MAS DARUL ULUM,10
112,MAS DARUL ULUM,11
113,MAS DARUL ULUM,13
114,MAS DARUN NUHA,2
115,MAS DARUR RIDHO,2
116,MAS DARUSSALAM,2
117,MAS DARUSSALAM,3
118,MAS DINIYYAH PUTRI LAMPUNG,2
119,MAS FANTRI BHAKTI,3
120,MAS FUTUHIYAH 1,5
121,MAS GUPI BANJIT,13
122,MAS GUPPI,2
123,MAS GUPPI PISANG BARU,13
124,MAS GUPPI SRAGI,2
125,MAS HASANUDDIN,14
126,MAS HAYATUL MUTTAQIN,2
127,MAS HIDAYATUL ISLAMIYAH,14
128,MAS HIDAYATUL MUBTADIIN,11
129,MAS IQRO,10
130,MAS ISLAMIYAH,3
131,MAS ISLAMIYAH,5
132,MAS ISLAMIYAH,11
133,MAS ISLAMIYAH CINTAMULYA,2
134,MAS ISLAMIYAH MENGGALA,11
135,MAS ISTIQLAL,5
136,MAS JAUHAROTUL MUALIMIN,3
137,MAS KMI DARUSSALAM GONTOR 9,2
138,MAS MA`ARIF 06,4
139,MAS MA`ARIF 2 SIDOREJO,4
140,MAS MA`ARIF 24 DAARUL RAHMAN,4
141,MAS MA`ARIF 7 SRIMINOSARI,4
142,MAS MA`ARIF BUMI RESTU,2
143,MAS MA`ARIF I BUMI MULYA,13
144,MAS MA`ARIF NU 5,4
145,MAS MA`ARIF NU 9,4
146,MAS MA'ARIF 1,3
147,MAS MAARIF 1 PEMPEN,4
148,MAS MA'ARIF 10,3
149,MAS MA'ARIF 14,3
150,MAS MAARIF 2 GAYA BARU II,3
151,MAS MA'ARIF 3,3
152,MAS MA'ARIF 4 KALIREJO,3
153,MAS MA'ARIF 5,3
154,MAS MA'ARIF 6,3
155,MAS MA'ARIF 7,3
156,MAS MAARIF 9 KOTAGAJAH,3
157,MAS MAARIF NU 8,4
158,MAS MA'ARIF SIDOHARJO,2
159,MAS MADINAH,4
160,MAS MAMBA`UL HUDA,11
161,MAS MAMBAUL ULUM,5
162,MAS MAMBAUL ULUM,10
163,MAS MARDHOTILLAH,3
164,MAS MASYARIQUL ANWAR,14
165,MAS MATHLA`UL ANWAR,2
166,MAS MATHLA`UL ANWAR,10
167,MAS MATHLAUL ANWAR,2
168,MAS MATHLAUL ANWAR,13
169,MAS MATHLAUL ANWAR KECAPI,2
170,MAS MATHLAUL ANWAR KEDATON,14
171,MAS MATLA`UL ANWAR,11
